titleId;ordering;title;region;language;types;attributes;isOriginalTitle;tconst;titleType;primaryTitle;originalTitle;isAdult;startYear;endYear;runtimeMinutes;genres;averageRating;numVotes;pais
tt4572514;1;Patriots Day;\N;\N;original;\N;1;tt4572514;movie;Patriots Day;Patriots Day;0;2016;\N;133;Action,Crime,Drama;7.3;119147;Hong Kong, Estados Unidos da América
tt4573394;1;Endless Corridor;\N;\N;original;\N;1;tt4573394;movie;Endless Corridor;Endless Corridor;0;2014;\N;52;Documentary,History;8.1;42256;Lituânia
tt4575576;1;Christopher Robin;\N;\N;original;\N;1;tt4575576;movie;Christopher Robin;Christopher Robin;0;2018;\N;104;Adventure,Comedy,Drama;7.2;88484;Reino Unido, Estados Unidos da América, Austrália, Canadá, Dinamarca
tt4595882;1;Can You Ever Forgive Me?;\N;\N;original;\N;1;tt4595882;movie;Can You Ever Forgive Me?;Can You Ever Forgive Me?;0;2018;\N;106;Biography,Comedy,Crime;7.1;57795;Estados Unidos da América
tt4633690;1;Shot Caller;\N;\N;original;\N;1;tt4633690;movie;Shot Caller;Shot Caller;0;2017;\N;121;Crime,Drama,Thriller;7.3;108595;Estados Unidos da América
tt4633694;1;Spider-Man: Into the Spider-Verse;\N;\N;original;\N;1;tt4633694;movie;Spider-Man: Into the Spider-Verse;Spider-Man: Into the Spider-Verse;0;2018;\N;117;Action,Adventure,Animation;8.4;739097;Canadá, Estados Unidos da América
tt4669788;1;On the Basis of Sex;\N;\N;original;\N;1;tt4669788;movie;On the Basis of Sex;On the Basis of Sex;0;2018;\N;120;Biography,Drama,History;7.1;41190;Estados Unidos da América, China, Canadá
tt4669986;1;Loving;\N;\N;original;\N;1;tt4669986;movie;Loving;Loving;0;2016;\N;123;Biography,Drama,Romance;7.0;37991;Reino Unido, Estados Unidos da América
tt4686844;1;The Death of Stalin;\N;\N;original;\N;1;tt4686844;movie;The Death of Stalin;The Death of Stalin;0;2017;\N;107;Comedy,Drama,History;7.3;121372;França, Reino Unido, Bélgica, Canadá, Estados Unidos da América
tt4698684;1;Hunt for the Wilderpeople;\N;\N;original;\N;1;tt4698684;movie;Hunt for the Wilderpeople;Hunt for the Wilderpeople;0;2016;\N;101;Adventure,Comedy,Drama;7.8;148529;Nova Zelândia
tt4729430;1;Klaus;\N;\N;original;\N;1;tt4729430;movie;Klaus;Klaus;0;2019;\N;96;Adventure,Animation,Comedy;8.2;216668;Espanha, Reino Unido, Estados Unidos da América, Áustria, Canadá, França
tt4761112;1;The Mauritanian;\N;\N;original;\N;1;tt4761112;movie;The Mauritanian;The Mauritanian;0;2021;\N;129;Biography,Drama,Thriller;7.5;68847;Reino Unido, Estados Unidos da América
tt4772188;1;Straume;\N;\N;original;\N;1;tt4772188;movie;Flow;Straume;0;2024;\N;85;Adventure,Animation,Family;7.9;86327;Letônia, Bélgica, França
